index,x,y,z
0,160067.008,3058765.402,2124.319
1,160065.407,3058767.088,2122.357
2,160064.923,3058767.598,2122.442
3,160063.429,3058769.172,2123.419
4,160061.94,3058770.741,2126.96
5,160061.696,3058770.998,2127.068
6,160060.733,3058772.013,2127.21
7,160059.951,3058772.837,2127.223
8,160058.168,3058774.715,2127.157
9,160056.526,3058776.445,2126.94
10,160055.964,3058777.036,2127.726
11,160054.188,3058778.908,2128.193
12,160053.277,3058779.868,2129.173
13,160052.704,3058780.471,2129.212
14,160051.937,3058781.279,2128.447
15,160048.265,3058785.148,2126.787
16,160047.042,3058786.436,2126.661
17,160045.721,3058787.829,2127.494
18,160045.32,3058788.251,2128.293
19,160040.518,3058793.31,2128.643
20,160038.904,3058795.011,2128.482
21,160038.575,3058795.357,2128.532
22,160035.366,3058798.738,2129.293
23,160033.479,3058800.726,2129.559
24,160032.07,3058802.211,2129.525
25,160030.632,3058803.726,2129.491
26,160028.817,3058805.638,2130.007
27,160027.256,3058807.283,2129.862
28,160022.194,3058812.616,2128.676
29,160021.189,3058813.675,2127.947
30,160021.011,3058813.862,2127.953
31,160020.761,3058814.126,2128.378
32,160017.551,3058817.508,2129.366
33,160017.034,3058818.053,2129.253
34,160015.333,3058819.844,2128.888
35,160010.951,3058824.462,2129.97
36,160010.431,3058825.009,2129.99
37,160010.187,3058825.267,2130.001
38,160009.843,3058825.629,2130.049
39,160007.116,3058828.502,2129.468
40,160005.425,3058830.283,2129.99
41,160002.436,3058833.432,2129.996
42,160001.972,3058833.922,2129.204
43,160001.023,3058834.922,2129.275
44,160000.539,3058835.431,2129.536
45,159998.894,3058837.164,2129.226
46,159995.874,3058840.346,2129.379
47,159995.404,3058840.841,2129.279
48,159995.22,3058841.035,2129.201
49,159994.948,3058841.322,2129.556
50,159992.206,3058844.211,2130.326
51,159991.313,3058845.151,2130.054
52,159987.103,3058849.587,2130.077
53,159985.41,3058851.37,2129.951
54,159985.314,3058851.471,2129.956
55,159985.065,3058851.734,2129.962
56,159981.736,3058855.241,2129.994
57,159981.216,3058858.8,2129.885
58,159980.628,3058862.813,2129.941
59,159980.602,3058862.994,2129.85
60,159980.578,3058863.154,2129.641
61,159980.506,3058863.649,2129.939
62,159979.531,3058870.313,2129.753
63,159978.696,3058876.019,2129.506
64,159978.605,3058876.641,2129.446
65,159978.602,3058876.656,2129.101
66,159978.259,3058879.001,2129.423
67,159977.21,3058886.17,2129.287
68,159976.975,3058887.777,2129.26
69,159976.116,3058893.645,2129.449
70,159975.983,3058894.555,2129.479
71,159975.785,3058895.91,2129.983
72,159975.571,3058897.373,2129.715
73,159975.031,3058901.06,2129.455
