id,travel_time_s,events,stopping_reason,runout_m
0,14.014,95,Stopped,175.481
1,11.546,77,Stopped,149.713
2,12.409,83,Stopped,144.988
3,14.032,93,Stopped,130.074
4,12.875,86,Stopped,148.122
5,13.666,91,Stopped,139.519
6,9.072,63,Stopped,128.151
7,13.245,91,Stopped,148.929
8,12.666,86,Stopped,150.207
9,13.212,89,Stopped,139.519
10,14.437,98,Stopped,146.664
11,12.786,90,Stopped,168.369
12,12.946,86,Stopped,135.445
13,12.125,81,Stopped,137.734
14,13.542,92,Stopped,181.545
15,13.456,90,Stopped,145.05
16,11.313,77,Stopped,145.128
17,13.122,89,Stopped,133.185
18,14.31,95,Stopped,148.122
19,3.17,24,Stopped,5.245
20,11.131,74,Stopped,143.975
21,15.04,101,Stopped,135.837
22,11.742,78,Stopped,131.985
23,12.935,88,Stopped,151.339
24,15.128,98,Stopped,161.72
25,13.115,91,Stopped,171.378
26,13.657,92,Stopped,165.059
27,14.375,97,Stopped,156.029
28,16.206,106,Stopped,164.962
29,13.144,88,Stopped,148.921
30,12.448,86,Stopped,154.328
31,16.347,112,Stopped,145.859
32,12.983,88,Stopped,146.776
33,15.769,105,Stopped,155.325
34,13.31,92,Stopped,141.861
35,15.546,104,Stopped,182.054
36,14.569,98,Stopped,145.35
37,14.221,98,Stopped,146.51
38,12.942,88,Stopped,157.015
39,12.25,82,Stopped,141.888
40,15.07,102,Stopped,145.04
41,11.357,77,Stopped,153.964
42,14.02,92,Stopped,131.046
43,15.062,100,Stopped,135.437
44,3.049,24,Stopped,5.032
45,14.691,96,Stopped,136.519
46,14.428,96,Stopped,146.647
47,13.467,91,Stopped,145.651
48,15.877,106,Stopped,147.462
49,13.303,90,Stopped,164.572
50,12.977,88,Stopped,151.305
51,13.027,92,Stopped,140.859
52,14.919,101,Stopped,164.944
53,3.25,24,Stopped,5.529
54,13.97,92,Stopped,152.747
55,13.324,89,Stopped,156.162
56,11.783,78,Stopped,135.024
57,8.933,60,Stopped,52.911
58,13.655,91,Stopped,150.438
59,13.819,93,Stopped,179.838
60,15.757,109,Stopped,158.106
61,14.083,94,Stopped,140.087
62,15.118,102,Stopped,151.901
63,13.088,86,Stopped,153.091
64,14.438,98,Stopped,146.711
65,14.455,97,Stopped,154.505
66,11.136,76,Stopped,156.316
67,15.045,99,Stopped,157.777
68,12.872,86,Stopped,144.676
69,14.638,98,Stopped,155.263
70,14.019,94,Stopped,145.207
71,15.888,106,Stopped,152.426
72,13.846,92,Stopped,166.082
73,2.941,22,Stopped,5.335
74,12.452,85,Stopped,164.282
75,18.451,124,Stopped,143.13
76,16.435,108,Stopped,145.963
77,13.418,89,Stopped,162.252
78,15.612,103,Stopped,189.8
79,3.395,26,Stopped,5.393
80,12.201,83,Stopped,145.532
81,11.842,79,Stopped,133.574
82,12.493,85,Stopped,150.307
83,11.785,84,Stopped,150.797
84,15.633,106,Stopped,146.495
85,15.269,108,Stopped,154.968
86,10.821,79,Stopped,141.028
87,13.035,87,Stopped,163.265
88,13.788,95,Stopped,160.009
89,10.711,74,Stopped,143.096
90,12.438,87,Stopped,151.059
91,12.944,87,Stopped,146.067
92,12.353,83,Stopped,146.461
93,12.015,80,Stopped,147.156
94,14.315,95,Stopped,147.942
95,15.712,105,Stopped,156.36
96,13.06,87,Stopped,171.018
97,13.042,86,Stopped,134.973
98,13.711,98,Stopped,162.027
99,16.774,110,Stopped,155.663
100,11.594,78,Stopped,152.839
101,19.937,139,Stopped,135.516
102,11.966,78,Stopped,144.893
103,11.738,78,Stopped,142.618
104,14.194,94,Stopped,144.273
105,12.874,87,Stopped,148.274
106,14.548,95,Stopped,173.599
107,11.868,80,Stopped,140.737
108,12.856,87,Stopped,140.21
109,15.356,102,Stopped,157.884
110,3.175,25,Stopped,5.716
111,14.157,95,Stopped,153.96
112,15.458,102,Stopped,149.115
113,12.765,84,Stopped,141.806
114,12.011,81,Stopped,151.519
115,12.155,82,Stopped,136.391
116,11.13,75,Stopped,148.918
117,13.008,86,Stopped,140.757
118,16.638,111,Stopped,142.106
119,12.805,87,Stopped,145.032
120,12.506,85,Stopped,146.963
