id,travel_time_s,events,stopping_reason,runout_m,seeder_index,seeder_x,seeder_y,seeder_z,seeder_type
0,14.014,95,Stopped,175.481,0,160067.008,3058765.402,2124.319,line
1,11.546,77,Stopped,149.713,1,160065.407,3058767.088,2122.357,line
2,12.409,83,Stopped,144.988,2,160064.923,3058767.598,2122.442,line
3,14.032,93,Stopped,130.074,3,160063.429,3058769.172,2123.419,line
4,12.875,86,Stopped,148.122,4,160061.94,3058770.741,2126.96,line
5,13.666,91,Stopped,139.519,5,160061.696,3058770.998,2127.068,line
6,9.072,63,Stopped,128.151,6,160060.733,3058772.013,2127.21,line
7,13.245,91,Stopped,148.929,7,160059.951,3058772.837,2127.223,line
8,12.666,86,Stopped,150.207,8,160058.168,3058774.715,2127.157,line
9,13.212,89,Stopped,139.519,9,160056.526,3058776.445,2126.94,line
10,14.437,98,Stopped,146.664,10,160055.964,3058777.036,2127.726,line
11,12.786,90,Stopped,168.369,11,160054.188,3058778.908,2128.193,line
12,12.946,86,Stopped,135.445,12,160053.277,3058779.868,2129.173,line
13,12.125,81,Stopped,137.734,13,160052.704,3058780.471,2129.212,line
14,13.542,92,Stopped,181.545,14,160051.937,3058781.279,2128.447,line
15,13.456,90,Stopped,145.05,15,160048.265,3058785.148,2126.787,line
16,11.313,77,Stopped,145.128,16,160047.042,3058786.436,2126.661,line
17,13.122,89,Stopped,133.185,17,160045.721,3058787.829,2127.494,line
18,14.31,95,Stopped,148.122,18,160045.32,3058788.251,2128.293,line
19,3.17,24,Stopped,5.245,19,160040.518,3058793.31,2128.643,line
20,11.131,74,Stopped,143.975,20,160038.904,3058795.011,2128.482,line
21,15.04,101,Stopped,135.837,21,160038.575,3058795.357,2128.532,line
22,11.742,78,Stopped,131.985,22,160035.366,3058798.738,2129.293,line
23,12.935,88,Stopped,151.339,23,160033.479,3058800.726,2129.559,line
24,15.128,98,Stopped,161.72,24,160032.07,3058802.211,2129.525,line
25,13.115,91,Stopped,171.378,25,160030.632,3058803.726,2129.491,line
26,13.657,92,Stopped,165.059,26,160028.817,3058805.638,2130.007,line
27,14.375,97,Stopped,156.029,27,160027.256,3058807.283,2129.862,line
28,16.206,106,Stopped,164.962,28,160022.194,3058812.616,2128.676,line
29,13.144,88,Stopped,148.921,29,160021.189,3058813.675,2127.947,line
30,12.448,86,Stopped,154.328,30,160021.011,3058813.862,2127.953,line
31,16.347,112,Stopped,145.859,31,160020.761,3058814.126,2128.378,line
32,12.983,88,Stopped,146.776,32,160017.551,3058817.508,2129.366,line
33,15.769,105,Stopped,155.325,33,160017.034,3058818.053,2129.253,line
34,13.31,92,Stopped,141.861,34,160015.333,3058819.844,2128.888,line
35,15.546,104,Stopped,182.054,35,160010.951,3058824.462,2129.97,line
36,14.569,98,Stopped,145.35,36,160010.431,3058825.009,2129.99,line
37,14.221,98,Stopped,146.51,37,160010.187,3058825.267,2130.001,line
38,12.942,88,Stopped,157.015,38,160009.843,3058825.629,2130.049,line
39,12.25,82,Stopped,141.888,39,160007.116,3058828.502,2129.468,line
40,15.07,102,Stopped,145.04,40,160005.425,3058830.283,2129.99,line
41,11.357,77,Stopped,153.964,41,160002.436,3058833.432,2129.996,line
42,14.02,92,Stopped,131.046,42,160001.972,3058833.922,2129.204,line
43,15.062,100,Stopped,135.437,43,160001.023,3058834.922,2129.275,line
44,3.049,24,Stopped,5.032,44,160000.539,3058835.431,2129.536,line
45,14.691,96,Stopped,136.519,45,159998.894,3058837.164,2129.226,line
46,14.428,96,Stopped,146.647,46,159995.874,3058840.346,2129.379,line
47,13.467,91,Stopped,145.651,47,159995.404,3058840.841,2129.279,line
48,15.877,106,Stopped,147.462,48,159995.22,3058841.035,2129.201,line
49,13.303,90,Stopped,164.572,49,159994.948,3058841.322,2129.556,line
50,12.977,88,Stopped,151.305,50,159992.206,3058844.211,2130.326,line
51,13.027,92,Stopped,140.859,51,159991.313,3058845.151,2130.054,line
52,14.919,101,Stopped,164.944,52,159987.103,3058849.587,2130.077,line
53,3.25,24,Stopped,5.529,53,159985.41,3058851.37,2129.951,line
54,13.97,92,Stopped,152.747,54,159985.314,3058851.471,2129.956,line
